,Название,Линия,lat,long
47,Орехово,Замоскворецкая линия,55.61333333333334,37.69499999999999
48,Домодедовская,Замоскворецкая линия,55.61083333333333,37.718611111111116
49,Красногвардейская,Замоскворецкая линия,55.61361111111111,37.74444444444445
50,Алма-Атинская,Замоскворецкая линия,55.6325,37.76611111111111
51,Пятницкое шоссе,Арбатско-Покровская линия,55.85638888888889,37.35444444444445
52,Митино,Арбатско-Покровская линия,55.84583333333334,37.36222222222222
53,Волоколамская,Арбатско-Покровская линия,55.83527777777778,37.382222222222225
54,Мякинино,Арбатско-Покровская линия,55.82527777777778,37.38527777777778
55,Строгино,Арбатско-Покровская линия,55.803888888888885,37.403055555555554
56,Крылатское,Арбатско-Покровская линия,55.75666666666667,37.408055555555556
57,Молодёжная,Арбатско-Покровская линия,55.740833333333335,37.416666666666664
58,Кунцевская,Арбатско-Покровская линия,55.73083333333334,37.44583333333333
59,Славянский бульвар,Арбатско-Покровская линия,55.72972222222222,37.470555555555556
60,Парк Победы,Арбатско-Покровская линия,55.736111111111114,37.51833333333333
61,Киевская,Арбатско-Покровская линия,55.74444444444445,37.565555555555555
62,Смоленская,Арбатско-Покровская линия,55.7475,37.58222222222223
63,Арбатская,Арбатско-Покровская линия,55.75222222222222,37.60611111111111
64,Площадь Революции,Арбатско-Покровская линия,55.75666666666667,37.62166666666667
65,Курская,Арбатско-Покровская линия,55.75805555555556,37.65833333333333
66,Бауманская,Арбатско-Покровская линия,55.77305555555555,37.68055555555555
67,Электрозаводская,Арбатско-Покровская линия,55.781666666666666,37.703611111111115
68,Семёновская,Арбатско-Покровская линия,55.78333333333333,37.72083333333334
69,Партизанская,Арбатско-Покровская линия,55.78861111111111,37.75055555555556
70,Измайловская,Арбатско-Покровская линия,55.78777777777778,37.78138888888889
71,Первомайская,Арбатско-Покровская линия,55.79472222222222,37.799166666666665
72,Щёлковская,Арбатско-Покровская линия,55.809444444444445,37.79861111111111
73,Кунцевская,Филёвская линия,55.73083333333334,37.44583333333333
74,Пионерская,Филёвская линия,55.736111111111114,37.467222222222226
75,Филёвский парк,Филёвская линия,55.73972222222222,37.483333333333334
76,Багратионовская,Филёвская линия,55.74388888888889,37.49777777777778
77,Фили,Филёвская линия,55.74611111111111,37.515
78,Кутузовская,Филёвская линия,55.74,37.53444444444444
79,Студенческая,Филёвская линия,55.73888888888889,37.54833333333333
80,Деловой центр,Филёвская линия,55.75,37.54111111111111
81,Киевская,Филёвская линия,55.743611111111115,37.565555555555555
82,Смоленская,Филёвская линия,55.74888888888889,37.5825
